"","avg.daily.ret","annual.vol","Semi-Deviation","Skewness","Excess Kurtosis"
"corn",-0.00074435112299624,0.30415347328733,0.238951009421764,-3.73424830352571,55.5570772759189
"wheat",-0.000190969252582209,0.259820470338161,0.178194826257828,0.288241221436102,4.51472051821755
"soybeans",-0.000397804735795424,0.255763802963107,0.202855049706287,-1.84857819075249,14.5783279488944
"ethanol",-0.000909059564961083,0.468768977204051,0.402364253138932,-4.97071897355601,51.0292891834716
"lumber",0.000308549300923774,0.231257029960443,0.156611486193232,0.38870081227221,4.62982958194508
"soymeal",-0.000218693775986124,0.364269303291142,0.293740375750414,-2.62334260650639,23.9968689032707
"soyoil",-0.000715388738312379,0.188057412463982,0.128075968834926,0.238669320580858,3.48053557651214
"palmoil",-0.00055240551140092,0.188485188666907,0.132152454532765,0.0494366790557138,4.64453771056552
"gold",-0.000464564922384547,0.177663138301438,0.131946820784072,-1.06581866284456,13.314531962708
"silver",-0.000914751854442021,0.289887092316433,0.211932085342265,-0.48381968036742,7.56646818089607
"copper",-0.000389649514180323,0.188604976315087,0.132809068444457,0.141737536535922,5.04709063892681
"zinc",0.00024972381240661,0.101136578132322,0.0756349011174055,-0.730790995510616,7.53451413319733
"tin",-0.000544676699915299,0.207138260749343,0.150349752701945,-0.309028533680424,6.10288285555271
"lead",-0.000478730812083524,0.105525204509192,0.0758386507220654,-0.112954199770378,13.6635427675653
"iron.ore",-0.00182599017792484,0.204912733907068,0.171932669971705,-2.92144983763445,21.0118790710994
"steel.rebar",-0.000732002607755413,0.198791131326897,0.135361306734582,0.758416809135975,10.488923606008
"wti.crude",-0.000916143628814715,0.258736675440765,0.184404341883497,0.0688050136726796,7.27216897276931
"brent.crude",-0.000846442959224099,0.234073261251776,0.164880246588903,0.18225829502485,7.46214372429136
"ny.harb.rbob.gasoline",-0.000182306282130746,0.303483498067229,0.212172121119711,0.184455588782386,14.6049698510474
"ny.harbor.ulsd",-0.000258076789343617,0.213493350195564,0.153777492409612,-0.341713596625077,8.37135663029571
"sing.380cst.bunker",-0.00146129928352697,0.282118760950398,0.192235375244016,2.29081808051297,50.4136043625716
"henry.hb.natgas",0.000614735754889587,0.450419869068439,0.307638179475681,0.309062185717494,6.42033542017299
"uk.natgas",-0.000396120770978684,0.256273772688544,0.167497143373393,1.3055963068518,16.2095239452753
"mt.bel.propane",-0.0024027730836754,0.346551806873767,0.293867735137637,-3.91971338460877,53.32224213844
"mt.bel.ethane",-0.00272251946751872,0.400604123822234,0.344054785977001,-3.95518165879997,38.0904904417621
"mt.bel.butane",-0.00194668709856306,0.269637867477953,0.237056470752447,-4.95436645329207,50.2391368712899
"pjm.wb.oprtma.5mw",0.000400452491284976,0.788514917357507,0.505479355865268,0.275526728081664,49.2722972867817
"pjm.n.il.oprtma.5mw",-0.000652090644109658,0.580804281999084,0.410420928820044,-0.921369035341076,42.7059707164688
"app.coal",-0.000415572919225456,0.140695629932676,0.0975713747376902,-0.0348429658797915,8.46914325834396
"powrivbas.coal",-0.000927176991215553,0.134548956838461,0.111014396797608,-3.19300246621414,32.6913110418186
"ara.coal",-0.000273943492103409,0.148849061607834,0.101963531692618,0.433709893100133,25.2367528587092
"newcastle.coal",-0.000420577243227478,0.276711048056294,0.195676992962359,-0.11915733551381,225.55065850252
"rich.bay.coal",-0.000550039489815618,0.26812825478263,0.187357839812256,0.21484235381183,191.960670878023
